lesson_title,question_type,level,statement,a,b,c,d,img_url,correct_answer
Conceitos Básicos I,abcd,muito fácil,O que é dinheiro?,Um jogo,Um símbolo,Um meio de troca,Um carro,,C
Conceitos Básicos I,abcd,muito fácil,Por que usamos dinheiro?,Para facilitar a troca de produtos e servicos entre pessoas,Para podermos criar empresas,Para nos comunicarmos,Para se alimentar,,A
Conceitos Básicos I,abcd,fácil,"Antes de termos dinheiro, como trocávamos itens ou serviços?",Éramos porquinhos,Éramos mais felizes,Não havia troca,Usávamos algum outro meio de troca (ex: conchas) ou trocávamos um item por outro.,,C
Conceitos Básicos I,abcd,médio,O que é escassez?,Falta de comida,Ter em pouca quantidade podendo faltar ou acabar,Falta de água,Abundancia,,B
Conceitos Básicos I,abcd,médio,O que escassez tem a ver com economia ou financas?,Nada,"Tudo, pois basicamente, quanto mais escasso, maior será o valor atribuído a algo",Falta de água pode desequilibrar o orcamento pessoal,Sem lama o porquinho não vive,,B
Conceitos Básicos II,abcd,muito fácil,Alguma pergunta de finanças,Alternativa A,Alternativa B,Alternativa C,Alternativa D,,C
Conceitos Básicos II,abcd,muito fácil,Alguma pergunta de finanças,Alternativa A,Alternativa B,Alternativa C,Alternativa D,,C
Conceitos Básicos II,abcd,fácil,Alguma pergunta de finanças,Alternativa A,Alternativa B,Alternativa C,Alternativa D,,C
Conceitos Básicos II,abcd,médio,Alguma pergunta de finanças,Alternativa A,Alternativa B,Alternativa C,Alternativa D,,C
Conceitos Básicos II,abcd,médio,Alguma pergunta de finanças,Alternativa A,Alternativa B,Alternativa C,Alternativa D,,C
Renda Fixa,abcd,muito fácil,Alguma pergunta de finanças,Alternativa A,Alternativa B,Alternativa C,Alternativa D,,C
Renda Fixa,abcd,muito fácil,Alguma pergunta de finanças,Alternativa A,Alternativa B,Alternativa C,Alternativa D,,C
Renda Fixa,abcd,fácil,Alguma pergunta de finanças,Alternativa A,Alternativa B,Alternativa C,Alternativa D,,C
Renda Fixa,abcd,médio,Alguma pergunta de finanças,Alternativa A,Alternativa B,Alternativa C,Alternativa D,,C
Renda Fixa,abcd,médio,Alguma pergunta de finanças,Alternativa A,Alternativa B,Alternativa C,Alternativa D,,C
Renda Variável,abcd,muito fácil,Alguma pergunta de finanças,Alternativa A,Alternativa B,Alternativa C,Alternativa D,,C
Renda Variável,abcd,muito fácil,Alguma pergunta de finanças,Alternativa A,Alternativa B,Alternativa C,Alternativa D,,C
Renda Variável,abcd,fácil,Alguma pergunta de finanças,Alternativa A,Alternativa B,Alternativa C,Alternativa D,,C
Renda Variável,abcd,médio,Alguma pergunta de finanças,Alternativa A,Alternativa B,Alternativa C,Alternativa D,,C
Renda Variável,abcd,médio,Alguma pergunta de finanças,Alternativa A,Alternativa B,Alternativa C,Alternativa D,,C
FII,abcd,muito fácil,Alguma pergunta de finanças,Alternativa A,Alternativa B,Alternativa C,Alternativa D,,C
FII,abcd,muito fácil,Alguma pergunta de finanças,Alternativa A,Alternativa B,Alternativa C,Alternativa D,,C
FII,abcd,fácil,Alguma pergunta de finanças,Alternativa A,Alternativa B,Alternativa C,Alternativa D,,C
FII,abcd,médio,Alguma pergunta de finanças,Alternativa A,Alternativa B,Alternativa C,Alternativa D,,C
FII,abcd,médio,Alguma pergunta de finanças,Alternativa A,Alternativa B,Alternativa C,Alternativa D,,C
